units that have a private room	SW.filter ( SW.filter entity-en.housing_unit string-has_private_room ) string-has_private_room
smallest e0	SW.superlative entity-en.housing_unit string-min SW.ensureNumericProperty string-size
which housing posted on a date other than january 2nd	SW.filter entity-en.housing_unit string-posting_date string-!= date:2015:1:2
what is the monthly rent for e0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-rent  string->= ( SW.ensureNumericEntity SW.getProperty e0 string-rent  )
800 square foot e0 in e0	SW.filter ( SW.filter entity-en.housing_unit string-size string-= number800 en.square_feet ) string-neighborhood string-= e0
housing with monthly rent of 1500 dollars that was posted on d0	SW.filter ( SW.filter entity-en.housing_unit string-rent string-= number1500 en.dollar ) string-posting_date string-= d0
housing units that allow cats and charge 1500 rent monthly	SW.filter ( SW.filter entity-en.housing_unit string-rent string-= number1500 en.dollar ) string-allows_cats
find housing units around e0	SW.filter entity-en.neighborhood SW.reverse string-neighborhood string-= e0
what is the most numerous housing type	SW.countSuperlative entity-en.housing_unit string-max string-housing_type
find all detached housing units	SW.countComparative entity-en.housing SW.reverse string-housing_type string-< number2 entity-en.housing_unit
housing posted on or before d0 or on or before d1	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-posting_date  string-<= ( SW.ensureNumericEntity SW.concat )
where is e0	SW.filter entity-en.neighborhood SW.reverse string-neighborhood string-= ( SW.filter entity-en.housing_unit string-neighborhood string-= e0 )
housing that is 1500month or less	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-rent  string-<= ( SW.ensureNumericEntity number1500 en.dollar )
which housing posted after jan 2nd	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-posting_date  string-> ( SW.ensureNumericEntity date:2015:1:2 )
find 800 square feet sized housing units	SW.filter entity-en.housing_unit string-size string-= number800 en.square_feet
which housing unit in the area permits cats	SW.filter entity-en.neighborhood SW.reverse string-neighborhood string-= ( SW.filter entity-en.housing_unit string-allows_cats )
which housing unit has a  minimum  rent of 1500 dollars per month	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-rent  string->= ( SW.ensureNumericEntity number1500 en.dollar )
cheapest housing	SW.superlative entity-en.housing_unit string-min SW.ensureNumericProperty string-rent
which housing in e0 has a private bath	SW.filter ( SW.filter entity-en.housing_unit string-has_private_bath ) string-neighborhood string-= e0
